listing_id,host_id,host_since,name,neighbourhood,property_type,room_type,bedrooms,price,number_of_reviews,review_scores_rating
22883860,32855030,2015-05-07,Private Room in a perfect location.,el Raval,Apartment,Private room,1.0,40,50,93.0
22883986,169338984,2018-01-22,Cozy and quite room near the beach and the city!,el Besòs i el Maresme,Guest suite,Private room,1.0,25,25,92.0
22884599,101269978,2016-10-25,Spacious room with double bed (1 person),el Putxet i el Farró,Apartment,Private room,1.0,60,0,
22885486,169346503,2018-01-22,Habitación doble al lado del Camp Nou,la Maternitat i Sant Ramon,Apartment,Private room,1.0,35,14,96.0
22891830,35680770,2015-06-13,Roomy & spacious apartment with balcony,les Corts,Apartment,Entire home/apt,4.0,175,7,90.0
22892177,89367617,2016-08-11,Room in Sant Gervasi (Santaló Area) - Barcelona,Sant Gervasi - Galvany,Apartment,Entire home/apt,1.0,17,0,
22892724,35680770,2015-06-13,Spacious & quiet 4 Bedroom apartment!! HUTB-012568,les Corts,Apartment,Entire home/apt,4.0,164,4,85.0
22893403,21873399,2014-09-28,Art Gallery Apartment with Patio,el Poble Sec,Serviced apartment,Entire home/apt,2.0,45,4,80.0
22898131,2509252,2012-05-31,Rambla Catalunya 1º,la Dreta de l'Eixample,Apartment,Entire home/apt,3.0,140,22,82.0
22898675,2439400,2012-05-22,Key MARIA CRISTINA Premium,les Corts,Apartment,Entire home/apt,3.0,85,15,91.0
22903344,169527279,2018-01-23,A cozy place in Bruc 5. Centrical. WIFI. Confort.,la Dreta de l'Eixample,Apartment,Entire home/apt,1.0,120,1,80.0
22906010,8472931,2013-08-27,Single room in Barcelona for perfect stay,la Verneda i la Pau,Apartment,Private room,1.0,20,2,100.0
22911094,53894342,2016-01-09,Glamorous finely refurbished central apartment,l'Antiga Esquerra de l'Eixample,Apartment,Entire home/apt,2.0,53,0,
22917625,169676008,2018-01-24,A beautiful room in Poblenou. Great location!,"Sant Pere, Santa Caterina i la Ribera",Apartment,Private room,1.0,21,1,100.0
22919140,4459553,2012-12-21,236 - AB Poble Sec Apartment - Traditional 3-Bedroom Poble Sec Apartment with a Balcony near Montjuïc,el Poble Sec,Apartment,Entire home/apt,3.0,350,12,75.0
22919142,4459553,2012-12-21,455 - AB Olympic Village Acqua - Beautiful 2-Bedroom Apartment Close to the Beach,el Poblenou,Apartment,Entire home/apt,2.0,350,10,94.0
22919143,4459553,2012-12-21,1255 - AB Olympic Village Beach - Trendy 3-Bedroom Apartment Close to the Beach and Port Olímpic (Families Only),la Vila Olímpica del Poblenou,Apartment,Entire home/apt,3.0,500,13,75.0
22919144,4459553,2012-12-21,1801 - AB Paral·lel Tapioles - Trendy 1-Bedroom Poble Sec Apartment with a Balcony near Montjuïc,el Poble Sec,Apartment,Entire home/apt,1.0,350,20,93.0
22919145,4459553,2012-12-21,1814 - AB Sagrada Família Cartagena - Stylish Apartment with a Balcony near the Beautiful Sagrada Família,la Sagrada Família,Apartment,Entire home/apt,3.0,350,0,
22919246,4459553,2012-12-21,1816 - AB Paral·lel Vallhonrat - Colourful 2-Bedroom Apartment with a Balcony near Plaça d´Espanya,el Poble Sec,Apartment,Entire home/apt,2.0,400,7,63.0
22919248,4459553,2012-12-21,1818 - AB Berlin Les Corts Apartment - Cosy 3-Bedroom Apartment with a Balcony near FC Barcelona´s Camp Nou Stadium,les Corts,Apartment,Entire home/apt,3.0,400,7,89.0
22919249,4459553,2012-12-21,"1843 - AB Sagrada Família Passatge Font - Cosy 1-Bedroom Apartment with a Balcony, Steps from the Sagrada Família",la Sagrada Família,Apartment,Entire home/apt,1.0,350,18,84.0
22919250,4459553,2012-12-21,1889 - AB Montserrat Comfort Apartment 4 -1 - Comfortable 2-Bedroom Apartment with a Balcony in a Quiet Neighbourhood,el Guinardó,Apartment,Entire home/apt,2.0,55,2,90.0
22919251,4459553,2012-12-21,2598 - AB Sants Terrace 1-1 - Modern Apartment with a Large Private Terrace,Sants - Badal,Apartment,Entire home/apt,1.0,350,7,80.0
22920619,102947901,2016-11-08,"Auditorio, Friendly Rentals",el Fort Pienc,Apartment,Entire home/apt,3.0,110,4,90.0
22923961,17333750,2014-06-27,"Huge Double with Ensuite & Closet, Modernist 200m2",l'Antiga Esquerra de l'Eixample,Apartment,Private room,1.0,90,122,98.0
22925069,169746846,2018-01-24,Habitacion para 4,la Vila de Gràcia,Hostel,Private room,1.0,120,0,
22925398,87527509,2016-08-02,Beautiful beach apartment,la Barceloneta,Apartment,Entire home/apt,2.0,48,0,
22931578,169823025,2018-01-25,perfecta2 habitacion privada en piso compartido,la Dreta de l'Eixample,Apartment,Private room,1.0,36,29,91.0
22932497,43565515,2015-09-07,TWO SISTERS SA1,Sant Antoni,Apartment,Entire home/apt,2.0,5000,0,
22932854,4006184,2012-10-29,Apartment renewed up to 4,la Dreta de l'Eixample,Apartment,Entire home/apt,1.0,80,61,93.0
22933934,169035001,2018-01-21,Apartment Triplex Barcelona w Rooftop,el Raval,Apartment,Private room,0.0,300,0,
22934608,10215074,2013-11-23,HABITACIÓN DOBLE GRANDE Y LUMINOSA,el Fort Pienc,Apartment,Private room,3.0,49,0,
22936859,136042328,2017-06-20,Oasis room in the heart of Barcelona,"Sant Pere, Santa Caterina i la Ribera",Apartment,Private room,0.0,53,18,84.0
22937193,168929787,2018-01-20,Habitacion para dos en Barcelona,l'Antiga Esquerra de l'Eixample,Apartment,Private room,1.0,65,0,
22937214,771458,2011-07-03,Hab naranja san joan,el Fort Pienc,Apartment,Private room,1.0,30,1,100.0
22940014,63519428,2016-03-18,ROOM IN MODERN FLAT( MOST CENTRIC )PLAÇA CATALUNYA,el Raval,Apartment,Private room,1.0,50,18,100.0
